,Ravenclaw,Slytherin,Gryffindor,Hufflepuff
Herbology,1.2272456238800626,0.392684949829862,0.6380316733578533,1.742037752932207
Defense Against the Dark Arts,1.7051207231109902,1.613543721991695,0.756883393908507,-0.07554783901118764
Divination,1.0595364765982045,0.050139725802221764,1.3295168810961087,1.5608069165034701
Muggle Studies,1.8098828127476179,0.8188010348898127,0.9961460774490974,0.3751700749134915
Ancient Runes,1.5646265673778283,0.7529625638683215,1.5694852832616069,0.11292558549223441
History of Magic,1.071397975213127,1.05501320266824,0.43920237213796925,1.4343864499806667
Transfiguration,1.0881752968434295,1.1797932784043614,0.4131418472309962,1.3188895775212082
Potions,0.9752488560539402,1.5230768483893964,0.8460167452638322,0.6556575502928325
Charms,1.654900226647643,0.6934815340724636,0.8225354779058974,0.8290827613739944
Flying,0.8926357383672723,0.662447147233416,1.613589879055978,0.8313272353433259
Bias,1.139489647067335,0.6343146632425425,0.8193893849354001,1.4068063047547275
