,Ravenclaw,Slytherin,Gryffindor,Hufflepuff
Herbology,0.20992711028678107,-0.5550269567352136,-0.4367260361711555,0.7818258826195917
Defense Against the Dark Arts,0.7194698585297572,0.6634919557497694,-0.2698919662428276,-1.1130698480367076
Divination,0.018820645711286645,-0.9864486527389272,0.4453492419215819,0.5222787651060639
Muggle Studies,0.8409558601804995,-0.23011803191688932,-0.005385595117890562,-0.6054522331457243
Ancient Runes,0.5598802927718736,-0.2808774006148486,0.5735208918709218,-0.8525237840279375
History of Magic,0.07884464842747754,-0.004702042243782596,-0.5375716006043483,0.46342899442066
Transfiguration,0.041093814882810636,0.24745091539420644,-0.5789692925689109,0.29042456229188607
Potions,-0.10626764211443987,0.5278555047686964,-0.08475970143820857,-0.33682816121604
Charms,0.6248858678325454,-0.2753189584880593,-0.1511621758374904,-0.19840473350699778
Flying,-0.1437862128508709,-0.28416762754816166,0.6013983730258712,-0.17344453262683643
Bias,0.2080957782911465,-0.4187230145660682,-0.18439422341905906,0.3950214596939804
